Date Delisted	Species Name	Date SpeciesFirst Listed	Reason Delisted	Domestic or Foreign	FWS or NMFS
2002/08/27	Cinquefoil, Robbins' (Potentilla robbinsiana)                              - Wherever found	1980/09/17	Recovered	Domestic	FWS
2001/03/20	Goose, Aleutian Canada (Branta canadensis leucopareia)                              - Wherever found	1967/03/11	Recovered	Both Domestic and Foreign	FWS
2000/04/26	Trout, coastal cutthroat (Oncorhynchus clarkii clarkii)                              - Umpqua R.	1996/09/13	Original Data in Error - Taxonomic revision	Domestic	FWS
2000/02/28	Shrew, Dismal Swamp southeastern (Sorex longirostris fisheri)                              - Wherever found	1986/09/26	Original Data in Error - New information discovered	Domestic	FWS
1999/08/25	Falcon, American peregrine (Falco peregrinus anatum)                              - Wherever found	1970/06/02	Recovered	Both Domestic and Foreign	FWS
1999/06/24	Cactus, Lloyd's hedgehog (Echinocereus lloydii)                              - Wherever found	1979/11/28	Original Data in Error - Taxonomic revision	Both Domestic and Foreign	FWS
1996/02/06	Bidens, cuneate (Bidens cuneata)                              - Wherever found	1984/02/17	Original Data in Error - Taxonomic revision	Domestic	FWS
1995/03/09	Kangaroo, eastern gray (Macropus giganteus)                              - Wherever found	1974/12/30	Recovered	Foreign	FWS
1995/03/09	Kangaroo, red (Macropus rufus)                              - Wherever found	1974/12/30	Recovered	Foreign	FWS
1995/03/09	Kangaroo, western gray (Macropus fuliginosus)                              - Wherever found	1974/12/30	Recovered	Foreign	FWS
1994/10/05	Falcon, Arctic peregrine (Falco peregrinus tundrius)                              - Wherever found	1970/06/02	Recovered	Both Domestic and Foreign	FWS
1994/06/16	Whale, gray (Eschrichtius robustus)                              - except where listed	1994/06/16	Recovered	Both Domestic and Foreign	NMFS/NOAA
1993/09/22	Pennyroyal, Mckittrick (Hedeoma apiculatum)                              - Wherever found	1982/07/13	Original Data in Error - New information discovered	Domestic	FWS
1993/09/22	Cactus, spineless hedgehog (Echinocereus triglochidiatus var. inermis)                              - Wherever found	1979/12/07	Original Data in Error - Not a listable entity	Domestic	FWS
1993/06/18	Globeberry, Tumamoc (Tumamoca macdougalii)                              - Wherever found	1986/04/29	Original Data in Error - New information discovered	Both Domestic and Foreign	FWS
1990/12/12	Sparrow, dusky seaside (Ammodramus maritimus nigrescens)                              - Wherever found	1967/03/11	Extinct	Domestic	FWS
1989/11/27	Hedgehog cactus, purple-spined (Echinocereus engelmannii var. purpureus)                              - Wherever found	1979/10/11	Original Data in Error - Taxonomic revision	Domestic	FWS
1989/09/14	Milk-vetch, Rydberg (Astragalus perianus)                              - Wherever found	1978/05/27	Original Data in Error - New information discovered	Domestic	FWS
1987/12/04	Gambusia, Amistad (Gambusia amistadensis)                              - Wherever found	1980/04/30	Extinct	Domestic	FWS
1987/06/04	Alligator, American (Alligator mississippiensis)                              - Wherever found	1967/03/11	Recovered	Domestic	FWS
1985/09/12	Dove, Palau ground (Gallicolumba canifrons)                              - Wherever found	1970/06/02	Recovered	Both Domestic and Foreign	FWS
1985/09/12	Flycatcher, Palau fantail (Rhipidura lepida)                              - Wherever found	1970/06/02	Recovered	Both Domestic and Foreign	FWS
1985/09/12	Owl, Palau (Pyrroglaux podargina)                              - Wherever found	1970/06/02	Recovered	Both Domestic and Foreign	FWS
